Word           ,Part of Speech ,Notes              ,Related                    ,
April          ,Noun           ,                   ,                           ,
August         ,Noun           ,                   ,                           ,
December       ,Noun           ,                   ,                           ,
February       ,Noun           ,                   ,                           ,
Friday         ,Noun           ,                   ,                           ,
I              ,Pronoun        ,                   ,me/my/mine/myself     ,
January        ,Noun           ,                   ,                           ,
July           ,Noun           ,                   ,                           ,
June           ,Noun           ,                   ,                           ,
March          ,Noun           ,                   ,                           ,
May            ,Noun           ,                   ,                           ,
Monday         ,Noun           ,                   ,                           ,
November       ,Noun           ,                   ,                           ,
October        ,Noun           ,                   ,                           ,
Saturday       ,Noun           ,                   ,                           ,
September      ,Noun           ,                   ,                           ,
Sunday         ,Noun           ,                   ,                           ,
Thursday       ,Noun           ,                   ,                           ,
Tuesday        ,Noun           ,                   ,                           ,
Wednesday      ,Noun           ,                   ,                           ,
earth          ,Noun           ,                   ,                           ,
god            ,Noun           ,                   ,                           ,
t-shirt        ,Noun           ,                   ,                           ,
actor          ,Noun           ,                   ,                           ,
adjective      ,Noun           ,                   ,                           ,
adult          ,Noun           ,                   ,                           ,
afternoon      ,Noun           ,                   ,                           ,
air            ,Noun           ,                   ,                           ,
airport        ,Noun           ,                   ,                           ,
alive          ,Noun           ,                   ,                           ,
and            ,Conjunction    ,                   ,                           ,
animal         ,Noun           ,                   ,                           ,
answer         ,Noun           ,                   ,                           ,
anything       ,Noun           ,                   ,                           ,
apart          ,Adverb         ,                   ,                           ,
apartment      ,Noun           ,                   ,                           ,
apple          ,Noun           ,                   ,                           ,
arm            ,Noun           ,                   ,                           ,
army           ,Noun           ,                   ,                           ,
around         ,Noun           ,                   ,                           ,
art            ,Noun           ,                   ,                           ,
artist         ,Noun           ,                   ,                           ,
as             ,Conjunction    ,                   ,                           ,
at             ,Conjunction    ,                   ,.                          
attack         ,Noun           ,                   ,                           ,
attention      ,Noun           ,                   ,                           ,
aunt           ,Noun           ,                   ,                           ,
away           ,Noun           ,                   ,                           ,
author         ,Noun           ,                   ,                           ,
baby           ,Noun           ,                   ,                           ,
back           ,Noun           ,body               ,                           ,
back           ,Noun           ,direction          ,                           ,
bad            ,Noun           ,                   ,worse/worst             ,
bag            ,Noun           ,                   ,                           ,
ball           ,Noun           ,                   ,                           ,
banana         ,Noun           ,                   ,                           ,
band           ,Noun           ,music              ,                           ,
bank           ,Noun           ,                   ,                           ,
bar            ,Noun           ,Location           ,                           ,
base           ,Noun           ,                   ,                           ,
bat            ,Noun           ,                   ,                           ,
bathroom       ,Noun           ,                   ,                           ,
beach          ,Noun           ,                   ,                           ,
bear           ,Noun           ,                   ,                           ,
beard          ,Noun           ,                   ,                           ,
beautiful      ,Noun           ,                   ,                           ,
bed            ,Noun           ,                   ,                           ,
bedroom        ,Noun           ,                   ,                           ,
bee            ,Noun           ,                   ,                           ,
beef           ,Noun           ,                   ,                           ,
beer           ,Noun           ,                   ,                           ,
before         ,Preposition    ,                   ,                           ,
behind         ,Preposition    ,                   ,                           ,
bell           ,Noun           ,                   ,                           ,
belly          ,Noun           ,                   ,                           ,
beverage       ,Noun           ,                   ,                           ,
bicycle        ,Noun           ,                   ,                           ,
big/large      ,Noun           ,                   ,                           ,
bill           ,Noun           ,                   ,                           ,
billion        ,Noun           ,                   ,                           ,
bird           ,Noun           ,                   ,                           ,
birthday       ,Noun           ,                   ,                           ,
