de                   ,en             ,Part of Speech ,Notes              ,Related                    ,
der April            ,April          ,Noun           ,                   ,                           ,
der August           ,August         ,Noun           ,                   ,                           ,
der Dezember         ,December       ,Noun           ,                   ,                           ,
der Februar          ,February       ,Noun           ,                   ,                           ,
Der Freitag          ,Friday         ,Noun           ,                   ,                           ,
ich                  ,I              ,Pronoun        ,                   ,"me, my, mine, myself"     ,
der Januar           ,January        ,Noun           ,                   ,                           ,
der Juli             ,July           ,Noun           ,                   ,                           ,
der Juni             ,June           ,Noun           ,                   ,                           ,
der Marsch           ,March          ,Noun           ,                   ,                           ,
der Mai              ,May            ,Noun           ,                   ,                           ,
der Montag           ,Monday         ,Noun           ,                   ,                           ,
der November         ,November       ,Noun           ,                   ,                           ,
der Oktober          ,October        ,Noun           ,                   ,                           ,
der Samstag          ,Saturday       ,Noun           ,                   ,                           ,
der September        ,September      ,Noun           ,                   ,                           ,
der Sonntag          ,Sunday         ,Noun           ,                   ,                           ,
der Donnerstag       ,Thursday       ,Noun           ,                   ,                           ,
Der Dienstag         ,Tuesday        ,Noun           ,                   ,                           ,
der Mittwoch         ,Wednesday      ,Noun           ,                   ,                           ,
die Erde             ,earth          ,Noun           ,                   ,                           ,
der Gott             ,god            ,Noun           ,                   ,                           ,
das T-Shirt          ,t-shirt        ,Noun           ,                   ,                           ,
der Schauspieler     ,actor          ,Noun           ,                   ,                           ,
Das Adjektiv         ,adjective      ,Noun           ,                   ,                           ,
der Erwachsene       ,adult          ,Noun           ,                   ,                           ,
der Nachmittag       ,afternoon      ,Noun           ,                   ,                           ,
die Luft             ,air            ,Noun           ,                   ,                           ,
Der Flughafen        ,airport        ,Noun           ,                   ,                           ,
die lebendigen       ,alive          ,Noun           ,                   ,                           ,
und                  ,and            ,Conjunction    ,                   ,                           ,
das Tier             ,animal         ,Noun           ,                   ,                           ,
die Antwort          ,answer         ,Noun           ,                   ,                           ,
das irgendwas        ,anything       ,Noun           ,                   ,                           ,
ein Teil             ,apart          ,Adverb         ,                   ,                           ,
das Apartment        ,apartment      ,Noun           ,                   ,                           ,
der Apfel            ,apple          ,Noun           ,                   ,                           ,
der Arm              ,arm            ,Noun           ,                   ,                           ,
die Armee            ,army           ,Noun           ,                   ,                           ,
die herum            ,around         ,Noun           ,                   ,                           ,
die Kunst            ,art            ,Noun           ,                   ,                           ,
der Künstler         ,artist         ,Noun           ,                   ,                           ,
wie                  ,as             ,Conjunction    ,                   ,                           ,
bei                  ,at             ,Conjunction    ,                   ,.                          
der Angriff          ,attack         ,Noun           ,                   ,                           ,
die Aufmerksamkeit   ,attention      ,Noun           ,                   ,                           ,
die Tante            ,aunt           ,Noun           ,                   ,                           ,
das weg              ,away           ,Noun           ,                   ,                           ,
der Autor            ,author         ,Noun           ,                   ,                           ,
das Baby             ,baby           ,Noun           ,                   ,                           ,
der Rücken           ,back           ,Noun           ,body               ,                           ,
der Rücken           ,back           ,Noun           ,direction          ,                           ,
das Schlechte        ,bad            ,Noun           ,                   ,"worse, worst"             ,
die Tasche           ,bag            ,Noun           ,                   ,                           ,
der Ball             ,ball           ,Noun           ,                   ,                           ,
die Banane           ,banana         ,Noun           ,                   ,                           ,
die Band             ,band           ,Noun           ,music              ,                           ,
die Bank             ,bank           ,Noun           ,                   ,                           ,
die Bar              ,bar            ,Noun           ,Location           ,                           ,
die Basis            ,base           ,Noun           ,                   ,                           ,
die Fledermaus       ,bat            ,Noun           ,                   ,                           ,
das Bad              ,bathroom       ,Noun           ,                   ,                           ,
der Strand           ,beach          ,Noun           ,                   ,                           ,
der Bär              ,bear           ,Noun           ,                   ,                           ,
der Bart             ,beard          ,Noun           ,                   ,                           ,
die schöne           ,beautiful      ,Noun           ,                   ,                           ,
das Bett             ,bed            ,Noun           ,                   ,                           ,
das Schlafzimmer     ,bedroom        ,Noun           ,                   ,                           ,
die Biene            ,bee            ,Noun           ,                   ,                           ,
Das Fleisch          ,beef           ,Noun           ,                   ,                           ,
das Bier             ,beer           ,Noun           ,                   ,                           ,
Vor                  ,before         ,Preposition    ,                   ,                           ,
hinter               ,behind         ,Preposition    ,                   ,                           ,
die Klingel          ,bell           ,Noun           ,                   ,                           ,
der Bauch            ,belly          ,Noun           ,                   ,                           ,
das Getränk          ,beverage       ,Noun           ,                   ,                           ,
das Fahrrad          ,bicycle        ,Noun           ,                   ,                           ,
das große/große      ,big/large      ,Noun           ,                   ,                           ,
die Rechnung         ,bill           ,Noun           ,                   ,                           ,
die Milliarde        ,billion        ,Noun           ,                   ,                           ,
der Vogel            ,bird           ,Noun           ,                   ,                           ,
der Geburtstag       ,birthday       ,Noun           ,                   ,                           ,
das Schwarze         ,black          ,Noun           ,                   ,                           ,
blind                ,blind          ,Adjective      ,                   ,                           ,
der Block            ,block          ,Noun           ,                   ,                           ,
das Blut             ,blood          ,Noun           ,                   ,                           ,
der Schlag           ,blow           ,Noun           ,                   ,                           ,
blau                 ,blue           ,Adjective      ,                   ,                           ,
das Boot             ,boat           ,Noun           ,                   ,                           ,
der Körper           ,body           ,Noun           ,                   ,                           ,
der Knochen          ,bone           ,Noun           ,                   ,                           ,
das Buch             ,book           ,Noun           ,                   ,                           ,
die Grenze           ,border         ,Noun           ,                   ,                           ,
die Flasche          ,bottle         ,Noun           ,                   ,                           ,
die Unterseite       ,bottom         ,Noun           ,                   ,                           ,
die Schale           ,bowl           ,Noun           ,                   ,                           ,
die Kiste            ,box            ,Noun           ,                   ,                           ,
der Junge            ,boy            ,Noun           ,                   ,                           ,
der Freund           ,boyfriend      ,Noun           ,                   ,                           ,
das Gehirn           ,brain          ,Noun           ,                   ,                           ,
das Brot             ,bread          ,Noun           ,                   ,                           ,
das Frühstück        ,breakfast      ,Noun           ,                   ,                           ,
die Brücke           ,bridge         ,Noun           ,                   ,                           ,
der Bruder           ,brother        ,Noun           ,                   ,                           ,
Das Braun            ,brown          ,Noun           ,                   ,                           ,
das Gebäude          ,building       ,Noun           ,                   ,                           ,
der Bus              ,bus            ,Noun           ,                   ,                           ,
aber                 ,but            ,Conjunction    ,                   ,                           ,
der Kuchen           ,cake           ,Noun           ,                   ,                           ,
die Kamera           ,camera         ,Noun           ,                   ,                           ,
das Lager            ,camp           ,Noun           ,                   ,                           ,
kann                 ,can            ,Verb           ,                   ,                           ,
