es                 ,en             ,Part of Speech ,Notes              ,Related                    ,
el abril           ,April          ,Noun           ,                   ,                           ,
el agosto          ,August         ,Noun           ,                   ,                           ,
el diciembre       ,December       ,Noun           ,                   ,                           ,
el febrero         ,February       ,Noun           ,                   ,                           ,
el viernes         ,Friday         ,Noun           ,                   ,                           ,
yo                 ,I              ,Pronoun        ,                   ,"me, my, mine, myself"     ,
el enero           ,January        ,Noun           ,                   ,                           ,
el julio           ,July           ,Noun           ,                   ,                           ,
el junio           ,June           ,Noun           ,                   ,                           ,
la marcha          ,March          ,Noun           ,                   ,                           ,
el Mayo            ,May            ,Noun           ,                   ,                           ,
el lunes           ,Monday         ,Noun           ,                   ,                           ,
el noviembre       ,November       ,Noun           ,                   ,                           ,
el octubre         ,October        ,Noun           ,                   ,                           ,
el sábado          ,Saturday       ,Noun           ,                   ,                           ,
el septiembre      ,September      ,Noun           ,                   ,                           ,
el domingo         ,Sunday         ,Noun           ,                   ,                           ,
el jueves          ,Thursday       ,Noun           ,                   ,                           ,
el martes          ,Tuesday        ,Noun           ,                   ,                           ,
el Miércoles       ,Wednesday      ,Noun           ,                   ,                           ,
la tierra          ,earth          ,Noun           ,                   ,                           ,
el Dios            ,god            ,Noun           ,                   ,                           ,
la remera          ,t-shirt        ,Noun           ,                   ,                           ,
el actor           ,actor          ,Noun           ,                   ,                           ,
el adjetivo        ,adjective      ,Noun           ,                   ,                           ,
el adulto          ,adult          ,Noun           ,                   ,                           ,
la tarde           ,afternoon      ,Noun           ,                   ,                           ,
El aire            ,air            ,Noun           ,                   ,                           ,
el aeropuerto      ,airport        ,Noun           ,                   ,                           ,
el vivo            ,alive          ,Noun           ,                   ,                           ,
y                  ,and            ,Conjunction    ,                   ,                           ,
el animal          ,animal         ,Noun           ,                   ,                           ,
la respuesta       ,answer         ,Noun           ,                   ,                           ,
la nada            ,anything       ,Noun           ,                   ,                           ,
aparte             ,apart          ,Adverb         ,                   ,                           ,
el apartamento     ,apartment      ,Noun           ,                   ,                           ,
la manzana         ,apple          ,Noun           ,                   ,                           ,
el brazo           ,arm            ,Noun           ,                   ,                           ,
El ejercito        ,army           ,Noun           ,                   ,                           ,
el alrededor       ,around         ,Noun           ,                   ,                           ,
el arte            ,art            ,Noun           ,                   ,                           ,
el artista         ,artist         ,Noun           ,                   ,                           ,
como               ,as             ,Conjunction    ,                   ,                           ,
a                  ,at             ,Conjunction    ,                   ,.                          
el ataque          ,attack         ,Noun           ,                   ,                           ,
la atencion        ,attention      ,Noun           ,                   ,                           ,
la tía             ,aunt           ,Noun           ,                   ,                           ,
la distancia       ,away           ,Noun           ,                   ,                           ,
el autor           ,author         ,Noun           ,                   ,                           ,
el bebé            ,baby           ,Noun           ,                   ,                           ,
la parte de atrás  ,back           ,Noun           ,body               ,                           ,
la parte de atrás  ,back           ,Noun           ,direction          ,                           ,
el malo            ,bad            ,Noun           ,                   ,"worse, worst"             ,
el bolso           ,bag            ,Noun           ,                   ,                           ,
la pelota          ,ball           ,Noun           ,                   ,                           ,
el plátano         ,banana         ,Noun           ,                   ,                           ,
la banda           ,band           ,Noun           ,music              ,                           ,
el Banco           ,bank           ,Noun           ,                   ,                           ,
el bar             ,bar            ,Noun           ,Location           ,                           ,
la base            ,base           ,Noun           ,                   ,                           ,
el murciélago      ,bat            ,Noun           ,                   ,                           ,
el cuarto de baño  ,bathroom       ,Noun           ,                   ,                           ,
la playa           ,beach          ,Noun           ,                   ,                           ,
El oso             ,bear           ,Noun           ,                   ,                           ,
la barba           ,beard          ,Noun           ,                   ,                           ,
la hermosa         ,beautiful      ,Noun           ,                   ,                           ,
la cama            ,bed            ,Noun           ,                   ,                           ,
el dormitorio      ,bedroom        ,Noun           ,                   ,                           ,
la abeja           ,bee            ,Noun           ,                   ,                           ,
la carne de vacuno ,beef           ,Noun           ,                   ,                           ,
la cerveza         ,beer           ,Noun           ,                   ,                           ,
antes de           ,before         ,Preposition    ,                   ,                           ,
detrás             ,behind         ,Preposition    ,                   ,                           ,
la campana         ,bell           ,Noun           ,                   ,                           ,
el vientre         ,belly          ,Noun           ,                   ,                           ,
la bebida          ,beverage       ,Noun           ,                   ,                           ,
la bicicleta       ,bicycle        ,Noun           ,                   ,                           ,
el grande/grande   ,big/large      ,Noun           ,                   ,                           ,
la factura         ,bill           ,Noun           ,                   ,                           ,
los mil millones   ,billion        ,Noun           ,                   ,                           ,
el pájaro          ,bird           ,Noun           ,                   ,                           ,
el cumpleaños      ,birthday       ,Noun           ,                   ,                           ,
el negro           ,black          ,Noun           ,                   ,                           ,
ciego              ,blind          ,Adjective      ,                   ,                           ,
el bloque          ,block          ,Noun           ,                   ,                           ,
la sangre          ,blood          ,Noun           ,                   ,                           ,
el golpe           ,blow           ,Noun           ,                   ,                           ,
azul               ,blue           ,Adjective      ,                   ,                           ,
el barco           ,boat           ,Noun           ,                   ,                           ,
el cuerpo          ,body           ,Noun           ,                   ,                           ,
el hueso           ,bone           ,Noun           ,                   ,                           ,
el libro           ,book           ,Noun           ,                   ,                           ,
la frontera        ,border         ,Noun           ,                   ,                           ,
la botella         ,bottle         ,Noun           ,                   ,                           ,
El fondo           ,bottom         ,Noun           ,                   ,                           ,
el cuenco          ,bowl           ,Noun           ,                   ,                           ,
la caja            ,box            ,Noun           ,                   ,                           ,
el chico           ,boy            ,Noun           ,                   ,                           ,
el novio           ,boyfriend      ,Noun           ,                   ,                           ,
el cerebro         ,brain          ,Noun           ,                   ,                           ,
el pan             ,bread          ,Noun           ,                   ,                           ,
el desayuno        ,breakfast      ,Noun           ,                   ,                           ,
el puente          ,bridge         ,Noun           ,                   ,                           ,
el hermano         ,brother        ,Noun           ,                   ,                           ,
el cafe            ,brown          ,Noun           ,                   ,                           ,
el edificio        ,building       ,Noun           ,                   ,                           ,
el autobús         ,bus            ,Noun           ,                   ,                           ,
pero               ,but            ,Conjunction    ,                   ,                           ,
el pastel          ,cake           ,Noun           ,                   ,                           ,
la Cámara          ,camera         ,Noun           ,                   ,                           ,
el campamento      ,camp           ,Noun           ,                   ,                           ,
pueden             ,can            ,Verb           ,                   ,                           ,
la vela            ,candle         ,Noun           ,                   ,                           ,
la tapa            ,cap            ,Noun           ,                   ,                           ,
el coche           ,car            ,Noun           ,                   ,                           ,
la tarjeta         ,card           ,Noun           ,                   ,                           ,
la carrera         ,career         ,Noun           ,                   ,                           ,
la zanahoria       ,carrot         ,Noun           ,                   ,                           ,
el gato            ,cat            ,Noun           ,                   ,                           ,
