it                  ,en             ,Part of Speech ,Notes              ,Related                    ,
l'aprile            ,April          ,Noun           ,                   ,                           ,
l'agosto            ,August         ,Noun           ,                   ,                           ,
il dicembre         ,December       ,Noun           ,                   ,                           ,
il febbraio         ,February       ,Noun           ,                   ,                           ,
il venerdì          ,Friday         ,Noun           ,                   ,                           ,
io                  ,I              ,Pronoun        ,                   ,"me, my, mine, myself"     ,
il gennaio          ,January        ,Noun           ,                   ,                           ,
il luglio           ,July           ,Noun           ,                   ,                           ,
il giugno           ,June           ,Noun           ,                   ,                           ,
la marcia           ,March          ,Noun           ,                   ,                           ,
il maggio           ,May            ,Noun           ,                   ,                           ,
il lunedì           ,Monday         ,Noun           ,                   ,                           ,
il novembre         ,November       ,Noun           ,                   ,                           ,
l'ottobre           ,October        ,Noun           ,                   ,                           ,
il sabato           ,Saturday       ,Noun           ,                   ,                           ,
il settembre        ,September      ,Noun           ,                   ,                           ,
la domenica         ,Sunday         ,Noun           ,                   ,                           ,
il giovedì          ,Thursday       ,Noun           ,                   ,                           ,
il martedì          ,Tuesday        ,Noun           ,                   ,                           ,
il mercoledì        ,Wednesday      ,Noun           ,                   ,                           ,
la terra            ,earth          ,Noun           ,                   ,                           ,
il Dio              ,god            ,Noun           ,                   ,                           ,
la maglietta        ,t-shirt        ,Noun           ,                   ,                           ,
l'attore            ,actor          ,Noun           ,                   ,                           ,
l'aggettivo         ,adjective      ,Noun           ,                   ,                           ,
l'adulto            ,adult          ,Noun           ,                   ,                           ,
il pomeriggio       ,afternoon      ,Noun           ,                   ,                           ,
l'aria              ,air            ,Noun           ,                   ,                           ,
l'aeroporto         ,airport        ,Noun           ,                   ,                           ,
il vivo             ,alive          ,Noun           ,                   ,                           ,
e                   ,and            ,Conjunction    ,                   ,                           ,
l'animale           ,animal         ,Noun           ,                   ,                           ,
la risposta         ,answer         ,Noun           ,                   ,                           ,
il nulla            ,anything       ,Noun           ,                   ,                           ,
a parte             ,apart          ,Adverb         ,                   ,                           ,
l'appartamento      ,apartment      ,Noun           ,                   ,                           ,
la mela             ,apple          ,Noun           ,                   ,                           ,
il braccio          ,arm            ,Noun           ,                   ,                           ,
l'esercito          ,army           ,Noun           ,                   ,                           ,
l'intorno           ,around         ,Noun           ,                   ,                           ,
l'arte              ,art            ,Noun           ,                   ,                           ,
l'artista           ,artist         ,Noun           ,                   ,                           ,
come                ,as             ,Conjunction    ,                   ,                           ,
a                   ,at             ,Conjunction    ,                   ,.                          
l'attacco           ,attack         ,Noun           ,                   ,                           ,
l'attenzione        ,attention      ,Noun           ,                   ,                           ,
la zia              ,aunt           ,Noun           ,                   ,                           ,
la via              ,away           ,Noun           ,                   ,                           ,
l'autore            ,author         ,Noun           ,                   ,                           ,
il bambino          ,baby           ,Noun           ,                   ,                           ,
il retro            ,back           ,Noun           ,body               ,                           ,
il retro            ,back           ,Noun           ,direction          ,                           ,
il cattivo          ,bad            ,Noun           ,                   ,"worse, worst"             ,
la borsa            ,bag            ,Noun           ,                   ,                           ,
la palla            ,ball           ,Noun           ,                   ,                           ,
la banana           ,banana         ,Noun           ,                   ,                           ,
la banda            ,band           ,Noun           ,music              ,                           ,
la Banca            ,bank           ,Noun           ,                   ,                           ,
il bar              ,bar            ,Noun           ,Location           ,                           ,
la base             ,base           ,Noun           ,                   ,                           ,
il pipistrello      ,bat            ,Noun           ,                   ,                           ,
il bagno            ,bathroom       ,Noun           ,                   ,                           ,
la spiaggia         ,beach          ,Noun           ,                   ,                           ,
l'orso              ,bear           ,Noun           ,                   ,                           ,
la barba            ,beard          ,Noun           ,                   ,                           ,
la bella            ,beautiful      ,Noun           ,                   ,                           ,
il letto            ,bed            ,Noun           ,                   ,                           ,
la Camera da letto  ,bedroom        ,Noun           ,                   ,                           ,
l'ape               ,bee            ,Noun           ,                   ,                           ,
la carne bovina     ,beef           ,Noun           ,                   ,                           ,
la birra            ,beer           ,Noun           ,                   ,                           ,
prima               ,before         ,Preposition    ,                   ,                           ,
dietro              ,behind         ,Preposition    ,                   ,                           ,
la campana          ,bell           ,Noun           ,                   ,                           ,
la pancia           ,belly          ,Noun           ,                   ,                           ,
la bevanda          ,beverage       ,Noun           ,                   ,                           ,
la bicicletta       ,bicycle        ,Noun           ,                   ,                           ,
il grande/grande    ,big/large      ,Noun           ,                   ,                           ,
il conto            ,bill           ,Noun           ,                   ,                           ,
il miliardo         ,billion        ,Noun           ,                   ,                           ,
l'uccello           ,bird           ,Noun           ,                   ,                           ,
il compleanno       ,birthday       ,Noun           ,                   ,                           ,
il nero             ,black          ,Noun           ,                   ,                           ,
cieco               ,blind          ,Adjective      ,                   ,                           ,
il blocco           ,block          ,Noun           ,                   ,                           ,
il sangue           ,blood          ,Noun           ,                   ,                           ,
il soffio           ,blow           ,Noun           ,                   ,                           ,
blu                 ,blue           ,Adjective      ,                   ,                           ,
la barca            ,boat           ,Noun           ,                   ,                           ,
il corpo            ,body           ,Noun           ,                   ,                           ,
l'osso              ,bone           ,Noun           ,                   ,                           ,
il libro            ,book           ,Noun           ,                   ,                           ,
il confine          ,border         ,Noun           ,                   ,                           ,
la bottiglia        ,bottle         ,Noun           ,                   ,                           ,
il fondo            ,bottom         ,Noun           ,                   ,                           ,
la ciotola          ,bowl           ,Noun           ,                   ,                           ,
la scatola          ,box            ,Noun           ,                   ,                           ,
il ragazzo          ,boy            ,Noun           ,                   ,                           ,
il fidanzato        ,boyfriend      ,Noun           ,                   ,                           ,
il cervello         ,brain          ,Noun           ,                   ,                           ,
il pane             ,bread          ,Noun           ,                   ,                           ,
la colazione        ,breakfast      ,Noun           ,                   ,                           ,
il ponte            ,bridge         ,Noun           ,                   ,                           ,
il fratello         ,brother        ,Noun           ,                   ,                           ,
il marrone          ,brown          ,Noun           ,                   ,                           ,
l'edificio          ,building       ,Noun           ,                   ,                           ,
il bus              ,bus            ,Noun           ,                   ,                           ,
ma                  ,but            ,Conjunction    ,                   ,                           ,
la torta            ,cake           ,Noun           ,                   ,                           ,
la fotocamera       ,camera         ,Noun           ,                   ,                           ,
il campo            ,camp           ,Noun           ,                   ,                           ,
Potere              ,can            ,Verb           ,                   ,                           ,
la candela          ,candle         ,Noun           ,                   ,                           ,
il cappello         ,cap            ,Noun           ,                   ,                           ,
la macchina         ,car            ,Noun           ,                   ,                           ,
la carta            ,card           ,Noun           ,                   ,                           ,
la carriera         ,career         ,Noun           ,                   ,                           ,
la carota           ,carrot         ,Noun           ,                   ,                           ,
il gatto            ,cat            ,Noun           ,                   ,                           ,
il soffitto         ,ceiling        ,Noun           ,                   ,                           ,
la cellula          ,cell           ,Noun           ,                   ,                           ,
il centesimo        ,cent           ,Noun           ,                   ,                           ,
il centro           ,center         ,Noun           ,                   ,                           ,
il secolo           ,century        ,Noun           ,                   ,                           ,
il centimetro       ,centimeter     ,Noun           ,                   ,                           ,
certo               ,certain        ,Adjective      ,                   ,                           ,
la sedia            ,chair          ,Noun           ,                   ,                           ,
il economico        ,cheap          ,Noun           ,                   ,                           ,
il formaggio        ,cheese         ,Noun           ,                   ,                           ,
il pollo            ,chicken        ,Noun           ,                   ,                           ,
il bambino          ,child          ,Noun           ,                   ,                           ,
il mento            ,chin           ,Noun           ,                   ,                           ,
la Chiesa           ,church         ,Noun           ,                   ,                           ,
il cerchio          ,circle         ,Noun           ,                   ,                           ,
la città            ,city           ,Noun           ,                   ,                           ,
l'argilla           ,clay           ,Noun           ,                   ,                           ,
la classe           ,class          ,Noun           ,                   ,                           ,
pulire              ,clean          ,Adjective      ,                   ,                           ,
l'orologio          ,clock          ,Noun           ,                   ,                           ,
chiudere            ,close          ,Adverb         ,                   ,                           ,
l'abbigliamento     ,clothing       ,Noun           ,                   ,clothes                    ,
l'orologio          ,clock          ,Noun           ,                   ,                           ,
il panno            ,cloth          ,Noun           ,                   ,                           ,
la nuvola           ,cloud          ,Noun           ,                   ,                           ,
il club             ,club           ,Noun           ,location           ,                           ,
il cappotto         ,coat           ,Noun           ,                   ,                           ,
il caffè            ,coffee         ,Noun           ,                   ,                           ,
il freddo           ,cold           ,Noun           ,                   ,                           ,
il colore           ,color          ,Noun           ,                   ,                           ,
il Comitato         ,committee      ,Noun           ,                   ,                           ,
l'azienda           ,company        ,Noun           ,                   ,                           ,
il computer         ,computer       ,Noun           ,                   ,                           ,
il complesso        ,complex        ,Noun           ,                   ,                           ,
la consonante       ,consonant      ,Noun           ,                   ,                           ,
la condizione       ,condition      ,Noun           ,                   ,                           ,
il contratto        ,contract       ,Noun           ,                   ,                           ,
freddo              ,cool           ,Adjective      ,                   ,                           ,
il rame             ,copper         ,Noun           ,                   ,                           ,
il Corno            ,corn           ,Noun           ,                   ,                           ,
l'angolo            ,corner         ,Noun           ,                   ,                           ,
Paese               ,country        ,Noun           ,(e.g. USA & Spain) ,                           ,
la Corte            ,court          ,Noun           ,                   ,                           ,
la copertina        ,cover          ,Noun           ,                   ,                           ,
la mucca            ,cow            ,Noun           ,                   ,                           ,
la folla            ,crowd          ,Noun           ,                   ,                           ,
La tazza            ,cup            ,Noun           ,                   ,                           ,
il curvo            ,curved         ,Noun           ,                   ,                           ,
carino              ,cute           ,Adjective      ,                   ,                           ,
il papà             ,dad            ,Noun           ,                   ,Daddy                      ,
il buio             ,dark           ,Noun           ,                   ,                           ,
l'appuntamento      ,date           ,Noun           ,e.g. May 7         ,                           ,
la figlia           ,daughter       ,Noun           ,                   ,                           ,
il giorno           ,day            ,Noun           ,                   ,                           ,
la morte            ,dead           ,Noun           ,                   ,                           ,
il sordo            ,deaf           ,Noun           ,                   ,                           ,
la morte            ,death          ,Noun           ,                   ,                           ,
Il profondo         ,deep           ,Noun           ,                   ,                           ,
il diamante         ,diamond        ,Noun           ,                   ,                           ,
la cena             ,dinner         ,Noun           ,                   ,                           ,
la direzione        ,direction      ,Noun           ,                   ,                           ,
lo sporco           ,dirty          ,Noun           ,                   ,                           ,
la malattia         ,disease        ,Noun           ,                   ,                           ,
il dottore          ,doctor         ,Noun           ,                   ,                           ,
il cane             ,dog            ,Noun           ,                   ,                           ,
il dollaro          ,dollar         ,Noun           ,                   ,                           ,
la porta            ,door           ,Noun           ,                   ,                           ,
il punto            ,dot            ,Noun           ,                   ,                           ,
fuori uso           ,down           ,Preposition    ,                   ,                           ,
il sogno            ,dream          ,Noun           ,                   ,                           ,
il vestito          ,dress          ,Noun           ,                   ,                           ,
la droga            ,drug           ,Noun           ,                   ,                           ,
l'asciutto          ,dry            ,Noun           ,                   ,                           ,
la polvere          ,dust           ,Noun           ,                   ,                           ,
l'orecchio          ,ear            ,Noun           ,                   ,                           ,
l'Est               ,east           ,Noun           ,                   ,                           ,
il bordo            ,edge           ,Noun           ,                   ,                           ,
l'uovo              ,egg            ,Noun           ,                   ,                           ,
gli otto            ,eight          ,Noun           ,                   ,                           ,
i diciotto          ,eighteen       ,Noun           ,                   ,                           ,
gli ottanta         ,eighty         ,Noun           ,                   ,                           ,
o                   ,either         ,Adverb         ,                   ,                           ,
l'elezione          ,election       ,Noun           ,                   ,                           ,
l'elettronica       ,electronics    ,Noun           ,                   ,                           ,
le undici           ,eleven         ,Noun           ,                   ,                           ,
l'energia           ,energy         ,Noun           ,                   ,                           ,
il motore           ,engine         ,Noun           ,                   ,                           ,
la sera             ,evening        ,Noun           ,                   ,                           ,
il tutto            ,everything     ,Noun           ,                   ,                           ,
la prova            ,evidence       ,Noun           ,                   ,                           ,
l'esercizio         ,exercise       ,Noun           ,                   ,                           ,
il costoso          ,expensive      ,Noun           ,                   ,                           ,
l'occhio            ,eye            ,Noun           ,                   ,                           ,
la faccia           ,face           ,Noun           ,                   ,                           ,
la caduta           ,fall           ,Noun           ,season             ,                           ,
la famiglia         ,family         ,Noun           ,                   ,                           ,
il famoso           ,famous         ,Noun           ,                   ,                           ,
il fan              ,fan            ,Noun           ,electric           ,                           ,
il fan              ,fan            ,Noun           ,sport              ,                           ,
lontano             ,far            ,Adverb         ,                   ,                           ,
la Fattoria         ,farm           ,Noun           ,                   ,                           ,
la velocità         ,fast           ,Noun           ,                   ,                           ,
il padre            ,father         ,Noun           ,                   ,                           ,
la femmina          ,female         ,Noun           ,                   ,                           ,
i quindici          ,fifteen        ,Noun           ,                   ,                           ,
il quinto           ,fifth          ,Noun           ,5th                ,                           ,
i cinquanta         ,fifty          ,Noun           ,                   ,                           ,
il dito             ,finger         ,Noun           ,                   ,                           ,
il fuoco            ,fire           ,Noun           ,                   ,                           ,
il primo            ,first          ,Noun           ,1st                ,                           ,
il pesce            ,fish           ,Noun           ,                   ,                           ,
i cinque            ,five           ,Noun           ,                   ,                           ,
piatto              ,flat           ,Adjective      ,                   ,                           ,
il pavimento        ,floor          ,Noun           ,                   ,                           ,
il fiore            ,flower         ,Noun           ,                   ,                           ,
il cibo             ,food           ,Noun           ,                   ,                           ,
il piede            ,foot           ,Noun           ,body part          ,                           ,
il piede            ,foot           ,Noun           ,measurement        ,                           ,
la foresta          ,forest         ,Noun           ,                   ,                           ,
la forchetta        ,fork           ,Noun           ,                   ,                           ,
i quaranta          ,forty          ,Noun           ,                   ,                           ,
il quattro          ,four           ,Noun           ,                   ,                           ,
i quattordici       ,fourteen       ,Noun           ,                   ,                           ,
il quarto           ,fourth         ,Noun           ,4th                ,                           ,
l'amico             ,friend         ,Noun           ,                   ,                           ,
la parte anteriore  ,front          ,Noun           ,                   ,                           ,
il gioco            ,game           ,Noun           ,                   ,                           ,
il giardino         ,garden         ,Noun           ,                   ,                           ,
la benzina          ,gasoline       ,Noun           ,                   ,                           ,
il regalo           ,gift           ,Noun           ,                   ,                           ,
la ragazza          ,girl           ,Noun           ,                   ,                           ,
la fidanzata        ,girlfriend     ,Noun           ,                   ,                           ,
il vetro            ,glass          ,Noun           ,                   ,                           ,
l'oro               ,gold           ,Noun           ,                   ,                           ,
il bene             ,good           ,Noun           ,                   ,"better, best"             ,
il nonno            ,grandfather    ,Noun           ,                   ,                           ,
la nonna            ,grandmother    ,Noun           ,                   ,                           ,
l'erba              ,grass          ,Noun           ,                   ,                           ,
il grigio           ,gray           ,Noun           ,                   ,                           ,
il verde            ,green          ,Noun           ,                   ,                           ,
il terreno          ,ground         ,Noun           ,                   ,                           ,
la pistola          ,gun            ,Noun           ,                   ,                           ,
i capelli           ,hair           ,Noun           ,                   ,                           ,
la metà             ,half           ,Noun           ,                   ,                           ,
la mano             ,hand           ,Noun           ,                   ,                           ,
la felicità         ,happy          ,Noun           ,                   ,                           ,
il duro             ,hard           ,Noun           ,                   ,                           ,
il cappello         ,hat            ,Noun           ,                   ,                           ,
lui                 ,he             ,Pronoun        ,                   ,"his, him, himself"        ,
la testa            ,head           ,Noun           ,                   ,                           ,
il sano             ,healthy        ,Noun           ,                   ,                           ,
l'udito             ,hear           ,Noun           ,a sound            ,                           ,
il cuore            ,heart          ,Noun           ,                   ,                           ,
il calore           ,heat           ,Noun           ,                   ,                           ,
il paradiso         ,heaven         ,Noun           ,                   ,                           ,
il pesante          ,heavy          ,Noun           ,                   ,                           ,
l'inferno           ,hell           ,Noun           ,                   ,                           ,
l'alto              ,high           ,Noun           ,                   ,                           ,
la collina          ,hill           ,Noun           ,                   ,                           ,
il buco             ,hole           ,Noun           ,                   ,                           ,
il cavallo          ,horse          ,Noun           ,                   ,                           ,
l'ospedale          ,hospital       ,Noun           ,                   ,                           ,
il caldo            ,hot            ,Noun           ,                   ,                           ,
l'albergo           ,hotel          ,Noun           ,                   ,                           ,
l'ora               ,hour           ,Noun           ,                   ,                           ,
la casa             ,house          ,Noun           ,                   ,                           ,
l'umano             ,human          ,Noun           ,                   ,                           ,
i cento             ,hundred        ,Noun           ,                   ,                           ,
il marito           ,husband        ,Noun           ,                   ,                           ,
il ghiaccio         ,ice            ,Noun           ,                   ,                           ,
l'immagine          ,image          ,Noun           ,                   ,                           ,
il pollice          ,inch           ,Noun           ,                   ,                           ,
la ferita           ,injury         ,Noun           ,                   ,                           ,
l'interno           ,inside         ,Noun           ,                   ,                           ,
lo strumento        ,instrument     ,Noun           ,musical            ,                           ,
interessante        ,interesting    ,Adjective      ,                   ,                           ,
l'isola             ,island         ,Noun           ,                   ,                           ,
l'it                ,it             ,Noun           ,                   ,                           ,
il lavoro           ,job            ,Noun           ,                   ,                           ,
il giudice          ,judge          ,Noun           ,Job                ,                           ,
il succo            ,juice          ,Noun           ,                   ,                           ,
il tasto            ,key            ,Noun           ,                   ,                           ,
il chilogrammo      ,kilogram       ,Noun           ,                   ,                           ,
il re               ,king           ,Noun           ,                   ,                           ,
la cucina           ,kitchen        ,Noun           ,                   ,                           ,
il ginocchio        ,knee           ,Noun           ,                   ,                           ,
il coltello         ,knife          ,Noun           ,                   ,                           ,
il lago             ,lake           ,Noun           ,                   ,                           ,
la lampada          ,lamp           ,Noun           ,                   ,                           ,
il laptop           ,laptop         ,Noun           ,                   ,                           ,
L'avvocato          ,lawyer         ,Noun           ,                   ,                           ,
la foglia           ,leaf           ,Noun           ,                   ,                           ,
la sinistra         ,left           ,Noun           ,direction          ,                           ,
la gamba            ,leg            ,Noun           ,                   ,                           ,
il limone           ,lemon          ,Noun           ,                   ,                           ,
la lettera          ,letter         ,Noun           ,                   ,                           ,
